,index,label
1,Q_162,0
12,Q_163,5
11,Q_164,5
2,Q_165,0
32,Q_168,0
16,Q_169,0
3,Q_170,0
8,Q_171,0
72,Q_172,1
64,Q_173,6
65,Q_174,6
71,Q_175,7
6,Q_176,6
5,Q_177,0
57,Q_179,5
39,Q_180,0
55,Q_181,0
26,Q_182,6
21,Q_183,5
20,Q_184,0
27,Q_185,0
56,Q_186,0
38,Q_187,5
4,Q_188,0
7,Q_189,0
31,Q_190,0
17,Q_191,0
43,Q_192,5
51,Q_193,5
52,Q_194,5
42,Q_195,5
33,Q_197,0
69,Q_198,7
67,Q_199,4
28,Q_200,0
14,Q_201,5
46,Q_202,5
54,Q_204,5
44,Q_205,5
30,Q_207,5
70,Q_208,7
68,Q_209,7
60,Q_210,5
34,Q_213,6
36,Q_214,0
49,Q_216,5
62,Q_217,6
0,Q_219,2
47,Q_220,5
53,Q_221,5
29,Q_222,6
15,Q_223,0
13,Q_224,0
45,Q_227,5
9,Q_229,0
41,Q_232,5
58,Q_233,4
59,Q_234,4
40,Q_235,0
18,Q_236,0
25,Q_237,0
73,Q_238,3
66,Q_239,4
22,Q_240,5
37,Q_241,6
63,Q_242,6
48,Q_243,5
50,Q_244,5
61,Q_245,0
35,Q_246,0
23,Q_247,6
19,Q_248,0
24,Q_249,5
10,Q_250,5
