,index,label
19,Q_162,1
18,Q_163,1
41,Q_164,1
40,Q_165,1
12,Q_168,1
52,Q_169,1
31,Q_170,1
2,Q_171,2
8,Q_172,1
42,Q_173,1
65,Q_174,1
66,Q_175,2
53,Q_176,2
51,Q_177,0
68,Q_179,1
33,Q_180,1
35,Q_181,1
10,Q_182,1
6,Q_183,2
49,Q_184,1
26,Q_185,2
72,Q_186,1
67,Q_187,1
38,Q_188,1
43,Q_189,1
15,Q_190,1
29,Q_191,3
59,Q_192,1
62,Q_193,1
47,Q_194,2
48,Q_195,1
73,Q_197,4
56,Q_198,1
54,Q_199,1
70,Q_200,1
69,Q_201,1
25,Q_202,1
34,Q_204,4
63,Q_205,1
61,Q_207,1
24,Q_208,1
13,Q_209,1
27,Q_210,1
39,Q_213,1
22,Q_214,1
58,Q_216,1
64,Q_217,1
16,Q_219,1
57,Q_220,1
32,Q_221,1
60,Q_222,1
55,Q_223,2
17,Q_224,1
20,Q_227,2
1,Q_229,1
46,Q_232,1
44,Q_233,1
11,Q_234,2
5,Q_235,1
28,Q_236,1
37,Q_237,2
21,Q_238,1
3,Q_239,1
7,Q_240,1
9,Q_241,1
36,Q_242,2
30,Q_243,1
71,Q_244,1
14,Q_245,1
50,Q_246,1
45,Q_247,1
0,Q_248,2
4,Q_249,2
23,Q_250,2
